,target,ConstrPattern
567,вернуть 4.2,Snom V Sacc {ADV / PRоткуда + Sx}
568,вернуть 4.3,Snom V Sacc {ADV / PRкуда + Sx}
569,вернуться 1.1,Snom V
570,вернуться 1.2,Snom V {ADV / PRоткуда + Sx}
571,вернуться 1.3,Snom V {ADV / PRкуда + Sx}
572,вернуться 1.4,Snom V PRтраект + Sx
573,вернуться 1.5,Snom V {Sins / Ains}
574,вернуться 2.1,Snom V
575,вернуться 2.2,Snom V PRкуда + Sx
576,вернуться 3.1,Snom V к + Sdat
577,весить 1.1,Snom V ADV
578,весить 1.2,Snom V Sacc
579,вести 1.1,Snom V Sacc
580,вести 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
581,вести 1.3,Snom V Sacc {ADV / PRкуда + Sx}
582,вести 1.4,Snom V Sacc {PRтраект + Sx / Sins}
583,вести 1.5,Snom V Sacc {за + Sacc / под + Sacc}
584,вести 1.6,Snom V Sacc на + Sacc
585,вести 1.7,Snom V Sacc Vinf
586,вести 2.1,Snom V Sacc
587,вести 2.2,Snom V Sacc к + Sdat
588,вести 2.3,Snom V Sacc {в + Sacc / на + Sacc}
589,вести 2.4,Snom V Sacc за + собой
590,вести 3.1,Snom V Sacc
591,вести 3.2,Snom V Sacc {ADV / PRоткуда + Sx}
592,вести 3.3,Snom V Sacc {ADV / PRкуда + Sx}
593,вести 3.4,Snom V Sacc PRтраект + Sx
594,вести 4.1,Snom V Sacc {ADV / PRоткуда + Sx}
595,вести 4.2,Snom V Sacc {ADV / PRкуда + Sx}
596,вести 4.3,Snom V Sacc PRтраект + Sx
597,вести 5.1,Snom V Sins по + Sdat
598,вести 6.1,Snom V {ADV / PRкуда + Sx}
599,вести 7.1,Snom V к + Sdat
600,вести 8.1,Snom V Sacc
601,вести 9.1,Snom V Sacc
602,вешать 1.1,Snom V Sacc
603,вешать 1.2,Snom V Sacc {ADV / PRкуда + Sx}
604,вешать 1.3,Snom V Sacc {ADV / PRгде + Sx}
605,вешать 2.1 'казнить',Snom V Sacc
606,вешать 2.2 'казнить',Snom V Sacc на + Sloc
607,взвесить 1.1,Snom V Sacc
608,взвесить 1.2,Snom V Sacc на + Sloc
609,взвесить 2.1,Snom V Sacc
610,вздыхать 1.1,Snom V
611,вздыхать 2.1,Snom V {по + Sdat / по + Sloc / о + Sloc}
612,вздыхать 2.2,Snom V что + CL
613,взлететь 1.1,Snom V
614,взлететь 1.2,Snom V {ADV / PRоткуда + Sx}
615,взлететь 1.3,Snom V {ADV / PRкуда + Sx}
616,взлететь 2.1 'перемещаться быстро',Snom V по + Sdat
617,взлететь 2.2 'перемещаться быстро',Snom V на + Sacc
618,взойти 1.1,Snom V на + Sacc
619,взойти 1.2,Snom V PRтраект + Sx
620,взойти 2.1 о солнце,Snom V
621,взойти 2.2 о солнце,Snom V над + Sins
622,взойти 3.1 о растениях,Snom V
623,взорвать 1.1,Snom V Sacc
624,взорвать 1.2,Snom V Sacc Sins
625,взорвать 2.1,Snom V Sacc
626,взорвать 2.2,Sacc Vimpers
627,взорваться 1.1,Snom V
628,взорваться 1.2,Snom V {ADV / PRгде + Sx}
629,взорваться 1.3,Snom V от + Sgen
630,взорваться 2.1,Snom V
631,взорваться 2.2,Snom V от + Sgen
632,взорваться 2.3,Snom V «CL»
633,взять 16.1 (идиом.) 'внезапно',Snom V {да / и / да + и} V1
634,взять 25.1 (идиом.),Vinf Sacc
635,видеть 1.1,Snom V
636,видеть 1.2,Snom V Sacc
637,видеть 1.3,Snom V Conj + CL
638,видеть 1.4,Snom V Rel + CL
639,видеть 1.5,Snom V CL
640,видеть 1.6,Snom V Sacc {ADV / PRгде + Sx}
641,видеть 1.7,Snom V Sacc Sins
642,"видеть 2.1 о фильме, спектакле",Snom V Sacc
643,"видеть 2.2 о фильме, спектакле",Snom V Sacc {ADV / PRгде + Sx}
644,"видеть 2.3 о фильме, спектакле",Snom V Sacc по + Sdat
645,видеть 3.1 'встречаться',Snom V Sacc
646,видеть 3.2 'встречаться',Snom V Sacc {ADV / Sins / PR + Sx}
647,видеть 3.3 'встречаться',Snom V Sacc {ADV / PRгде + Sx}
648,видеть 4.1 (идиом.) горя,Snom V Sacc
649,видеть 5.1 'приписывать свойства',Snom V Sacc в + Sloc
650,видеть 6.1 'воображать',Snom V как + CL
651,видеть 6.2 'воображать',Snom V Sacc Sins
652,видеть 6.3 'воображать',Snom V Sacc в + Sloc
653,видеть 7.1 'осознавать',Snom V Sacc
654,видеть 7.2 'осознавать',Snom V что + CL
655,видеть 7.3 'осознавать',Snom V чтобы + CL
656,видеть 7.4 'осознавать',Snom V Rel + CL
657,виднеться 1.1,Snom V {ADV / PRгде + Sx}
658,вилять 1.2,Snom V у + Sgen
659,вилять 1.1,Snom V Sins
660,вилять 2.1 'перемещаться',Snom V PRтраект + Sx
661,вилять 3.1 о дороге,Snom V PRтраект + Sx
662,вилять 4.1 'врать',Snom V
663,висеть 1.2,Snom V
664,висеть 1.1,Snom V {ADV / PRгде + Sx}
665,висеть 1.3,Snom V на + Sloc
666,висеть 2.1,Snom V над + Sins
667,висеть 3.1,Snom V {ADV / PRгде + Sx}
668,висеть 4.1,Snom V {ADV / PR + Sx}
669,висеть 5.1,Snom V на + Sloc
670,вить 1.1,Snom V Sacc
671,вить 1.2,Snom V Sacc из + Sgen
672,включить 1.1,Snom V Sacc в + Sacc
673,включить 2.1,Snom V Sacc
674,включить 2.2,Snom V Sacc в + Sacc
675,включить 3.1,Snom V Sacc [в + себя]
676,включиться 1.1,Snom V в + Sacc
677,включиться 2.1,Snom V
678,владеть 1.1,Snom V Sins
679,владеть 2.1,Snom V Sins
680,владеть 3.1,Snom V Sins
681,владеть 4.1,Snom V Sins
682,владеть 5.1,Snom V Sins
683,влечь 1.1,Snom V Sacc
684,влечь 1.2,Snom V Sacc {ADV / PRкуда + Sx}
685,влечь 2.1,Snom V Sacc
686,влечь 2.2,Sacc Vimpers {ADV / PRкуда + Sx}
687,влечь 3.2 (идиом.) наказание,Snom V Sacc за + собой
688,влиять 1.1,Snom V на + Sacc
689,влиять 1.2,Snom V на + Sacc Sins
690,вложить 1.1,Snom V Sacc в + Sacc
691,вложить 2.1,Snom V Sacc в + Sacc
692,вложить 3.1,Snom V Sacc в + Sacc
693,вложить 4.1,Snom V Sacc в + Sacc
694,влюбиться 1.1,Snom V в + Sacc
695,вмешаться 1.1,Snom V в + Sacc
696,вмещать 1.1,Snom V {ADV / Sacc}
697,вмещать 1.2,Snom V {ADV / Sacc}
698,вмещать 2.1 (каузативный),Snom V Sacc {ADV / в + Sacc}
699,внедрить 1.1 'запустить',Snom V Sacc
700,внедрить 1.2 'запустить',Snom V Sacc в + Sacc
701,внести 1.1,Snom V Sacc
702,внести 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
703,внести 1.3,Snom V Sacc {ADV / PRкуда + Sx}
704,внести 1.4,Snom V Sacc на + Sloc
705,внести 2.1,Snom V Sacc в + Sacc
706,внести 3.1,Snom V Sacc
707,внести 3.2,Snom V Sacc в + Sacc
708,внести 4.1,Snom V Sacc в + Sacc
709,внушать 1.1 (идиом.) об эмоции,Snom V Sacc
710,внушать 1.2 (идиом.) об эмоции,Snom V Sacc Sdat
711,внушать 2.1 'убеждать',Snom V Sacc Sdat
712,внушать 2.2 'убеждать',Snom V Sdat что + CL
713,внушать 2.3 'убеждать',Snom V Sdat Rel + CL
714,водить 1.1,Snom V Sacc
715,водить 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
716,водить 1.3,Snom V Sacc {ADV / PRкуда + Sx}
717,водить 1.4,Snom V Sacc PRгде + Sx
718,водить 1.5,Snom V Sacc PRтраект + Sx
719,водить 1.6,Snom V Sacc {за + Sacc / под + Sacc}
720,водить 1.7,Snom V Sacc на + Sacc
721,водить 1.8,Snom V Sacc Vinf
722,водить 2.1,Snom V Sacc {в + Sacc / на + Sacc}
723,водить 3.1,Snom V Sacc
724,водить 3.2,Snom V Sacc {ADV / PRкуда + Sx}
725,водить 3.3,Snom V Sacc PRтраект + Sx
726,водить 4.1,Snom V Sacc
727,водить 5.1,Snom V Sacc
728,водить 6.1,Snom V
729,водить 7.1,Snom V Sins по + Sdat
730,водить 8.1,Snom V Sins
731,водить 9.1,Snom V Sins
732,воевать 1.1,Snom V
733,воевать 1.2,Snom V за + Sacc
734,воевать 1.3,Snom V с + Sins
735,воевать 2.1,Snom V с + Sins
736,возбудить 1.1,Snom V Sacc
737,возбудить 2.1,Snom V Sacc
738,возбудить 2.2,Snom V Sacc у + Sgen
739,возбудить 2.3,Snom V Sacc в + Sloc
740,возбудить 3.1,Snom V Sacc
741,возбудить 4.1,Snom V Sacc против + Sgen
742,возвратить 1.3,Snom _V_ Sacc
743,возвратить 1.1,Snom _V_ Sacc Sdat
744,возвратить 1.2,Snom _V_ Sacc {ADV / PRкуда + Sx}
745,возвратить 2.1,Snom V Sacc
746,возвратить 3.3,Snom V Sacc
747,возвратить 3.1,Snom V Sacc Sdat
748,возвратить 4.1,Snom V Sacc
749,возвратить 4.2,Snom V Sacc {ADV / PRоткуда + Sx}
750,возвратить 4.3,Snom V Sacc {ADV / PRкуда + Sx}
751,возвратиться 1.1,Snom V
752,возвратиться 1.2,Snom V {ADV / PRоткуда + Sx}
753,возвратиться 1.3,Snom V {ADV / PRкуда + Sx}
754,возвратиться 1.4,Snom V PRтраект + Sx
755,возвратиться 1.5,Snom V {Sins / Ains}
756,возвратиться 1.6,Snom V Vinf
757,возвратиться 2.1,Snom V PRкуда + Sx
758,возвратиться 3.1,Snom V к + Sdat
759,возглавлять 1.1,Snom V Sacc
760,воздействовать 1.1,Snom V на + Sacc
761,воздействовать 1.2,Snom V на + Sacc {ADV / Sins}
762,возить 1.1,Snom V Sacc
763,возить 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
764,возить 1.3,Snom V Sacc {ADV / PRкуда + Sx}
765,возить 1.4,Snom V Sacc PRтраект + Sx
766,возить 1.5,Snom V Sacc на + Sacc
767,возить 1.6,Snom V Sacc Sins
768,возить 1.7,Snom V Sacc {в + Sloc / на + Sloc}
769,возить 1.8,Snom V Sacc Vinf
770,возить 2.1 (о трансп.),Snom V Sacc
771,возить 2.2,Snom V Sacc {ADV / PRоткуда + Sx}
772,возить 2.3,Snom V Sacc {ADV / PRкуда + Sx}
773,возить 2.4,Snom V Sacc PRтраект + Sx
774,возиться 1.1,Snom V
775,возиться 1.2,Snom V {ADV / PRгде + Sx}
776,возиться 2.2 'заниматься с кем-чем-л.',Snom V с + Sins
777,возиться 3.1 'долго по времени',Snom V
778,возиться 3.2 'долго по времени',Snom V {ADV / Sx / PR + Sy}
779,возиться 3.3 'долго по времени',Snom V с + Sins
780,возиться 2.1 'заниматься с кем-чем-л.',Snom V с + Sins
781,возмутить 1.1,Snom V Sacc
782,возмутить 1.2,Sacc Vimpers что + CL
783,возмутить 1.3,Snom V Sacc Sins
784,возмутиться 1.1,Snom V
785,возмутиться 1.2,Snom V Sins
786,возмутиться 1.3,Snom V в + Sloc
787,возмутиться 1.4,Snom V Conj + CL
788,возмутиться 1.5,Snom V «CL»
789,возникнуть 1.1,Snom V
790,возникнуть 1.2,Snom V {ADV / PRгде + Sx}
791,возразить 1.1,Snom V
792,возразить 1.2,Snom V против + Sgen
793,возразить 1.3,Snom V Sdat
794,возразить 1.4,Snom V Sacc
795,возразить 1.5,Snom V на + Sacc
796,возразить 1.6,Snom V «CL»
797,войти 1.1,Snom V {ADV / в + Sacc}
798,войти 1.2,Snom V {в + Sacc / через + Sacc}
799,войти 1.3,Snom V {ADV / в + Sacc} {ADV / PRоткуда + Sx}
800,войти 2.1 о корабле,Snom V PRкуда + Sx
801,войти 3.1 проникнуть в землю,Snom V {ADV / PRкуда + Sx}
802,войти 3.2 проникнуть в землю,Snom V PRкуда + Sx Sdat
803,войти 4.1 'поместиться',Snom V {ADV / PRкуда + Sx}
804,войти 5.1 (идиом.) в состав,Snom V в + Sacc
805,войти 6.1 (идиом.) во все дела,Snom V в + Sacc
806,войти 7.1 (идиом.) 'обратиться в инстанцию',Snom V в + Sacc с + Sins
807,войти 8.1 (идиом.) в моду,Snom V в + Sacc
808,волновать 1.1,Snom V Sacc
809,волновать 3.1 'движение',Snom V Sacc
810,волновать 2.1 абстр.,Snom V Sacc
811,волноваться 3.1 'движение',Snom V
812,волноваться 3.2 'движение',Snom V от + Sgen
813,вонять 1.1,Snom V
814,вонять 1.2,Vimpers {ADV / PRгде + Sx}
815,воображать 1.1,Snom V Sacc
816,воображать 1.2,Snom V Conj + CL
817,воображать 1.3,Snom V Rel + CL
818,воображать 1.4,Snom V {Sacc / Conj + CL / Rel + CL} себе
819,воображать 1.5,Snom V Sacc Sins
820,воображать 2.1 'вести себя',Snom V
821,вооружить 1.1,Snom V Sacc
822,вооружить 1.2,Snom V Sacc Sins
823,вооружить 2.1,Snom V Sacc Sins
824,вооружиться 1.1,Snom V
825,вооружиться 1.2,Snom V Sins
826,вооружиться 2.1,Snom V Sins
827,воровать 1.1,Snom V
828,воровать 1.2,Snom V Sacc
829,воровать 1.3,Snom V Sacc у + Sgen
830,воровать 1.4,Snom V Sacc {ADV / PRоткуда + Sx}
831,воровать 1.5,Snom V Sacc {ADV / PRгде + Sx}
832,воспитать 1.1,Snom V Sacc
833,воспитать 1.2,Snom V Sacc
834,воспитать 1.3,Snom V Sacc из + Sgen
835,воспитать 1.4,Snom V Sacc Sins
836,воспитать 1.5,Snom V Sacc в + Sloc
837,воспитать 2.1,Snom V Sacc
838,воспитать 2.2,Snom V Sacc {у + Sgen / в + Sloc}
839,воспринять 1.1,Snom V Sacc
840,воспринять 1.2,Snom V Sacc от + Sgen
841,воспринять 2.1,Snom V Sacc {ADV / PR + Sx}
842,восстановить 1.1,Snom V Sacc
843,восстановить 2.1,Snom V Sacc
844,восстановить 3.1,Snom V Sacc
845,восстановить 3.2,Snom V Sacc по + Sdat
846,восстановить 3.3,Snom V Sacc в + Sloc
847,восстановить 4.1,Snom V Sacc
848,восстановить 4.2,Snom V Sacc {в + Sloc / на + Sloc}
849,восстановить 5.1,Snom V Sacc против + Sgen
850,восстать 1.1,Snom V
851,восстать 1.2,Snom V против + Sgen
852,восстать 2.1,Snom V против + Sgen
853,восторгаться 1.1,Snom V
854,восторгаться 1.2,Snom V Sins
855,восторгаться 1.3,Snom V «CL»
856,восхищаться 1.1,Snom V
857,восхищаться 1.2,Snom V Sins
858,восхищаться 1.3,Snom V Conj + CL
859,восхищаться 1.4,Snom V «CL»
860,восхищаться 1.5,Snom V Rel + CL
861,впасть 1.1,Snom V
862,впасть 1.2,Snom V от + Sgen
863,впасть 1.3,Snom V у + Sgen
864,впасть 2.1,Snom V в + Sacc
865,впасть 3.1,Snom V в + Sacc
866,вписать 1.1,Snom V Sacc
867,вписать 1.2,Snom V Sacc в + Sacc
868,вписать 2.1,Snom V Sacc в + Sacc
869,впитать 1.1,Snom V Sacc
870,впитаться 1.1,Snom V в + Sacc
871,врать 1.1,Snom V
872,врать 1.2,Snom V Sdat
873,врать 1.3,Snom V про + Sacc
874,врать 1.4,Snom V Conj + CL
875,врать 1.5,Snom V «CL»
876,врать 2.1,Snom V
877,врать 3.1,Snom V
878,вращать 1.1,Snom V Sacc
879,вращать 2.1,Snom V Sins
880,вращаться 1.1,Snom V
881,вращаться 1.2,Snom V вокруг + Sgen
882,вращаться 2.1,Snom V среди + Sgen
883,вращаться 2.2,Snom V в + Sloc
884,вредить 1.1,Snom V Sdat
885,вредить 2.1 о человеке,Snom V Sdat
886,вручить 1.1,Snom V Sacc Sdat
887,вскинуть 1.1,Snom V Sacc
888,вскинуть 2.1,Snom V Sacc PRкуда + Sx
889,вскочить 1.1,Snom V
890,вскочить 1.2,Snom V PRоткуда + Sx
891,вскочить 1.3,Snom V от + Sgen
892,вскочить 1.4,Snom V на + ноги
893,вскочить 2.1,Snom V PRкуда + Sx
894,вскочить 3.1,Snom V у + Sgen
895,вскочить 3.2,Snom V у + Sgen на + Sloc
896,вскрыть 1.1,Snom V Sacc
897,вскрыть 1.2,Snom V Sacc Sins
898,вскрыть 2.1,Snom V Sacc
899,вскрыть 3.1,Snom V Sacc
900,вскрыть 3.2,Snom V Sacc Sdat
901,вскрыть 3.3,Snom V Sacc Sins
902,вспомнить 1.1,Snom V Sacc
903,вспомнить 1.2,Snom V {о + Sloc / про + Sacc}
904,вспомнить 1.3,Snom V что + CL
905,вспомнить 1.4,Snom V Rel + CL
906,вспыхнуть 1.1,Snom V
907,вспыхнуть 1.2,Snom V от + Sgen
908,вспыхнуть 1.3,Snom V Sins
909,вспыхнуть 2.1 о свете,Snom V
910,вспыхнуть 3.1 проявление эмоций,Snom V
911,вспыхнуть 3.2 проявление эмоций,Snom V от + Sgen
912,вспыхнуть 3.3 проявление эмоций,Snom V у + Sgen
913,вспыхнуть 3.4 проявление эмоций,Snom V Sins [у + Sgen]
914,вспыхнуть 5.1 речь,Snom V
915,вспыхнуть 4.1 проявление эмоций - о человеке,Snom V от + Sgen
