,target,ConstrPattern
549,"велеть 2.2 (о совести, чести)",Snom V Sdat Vinf
550,верить 1.1 'доверие',Snom V Sdat
551,верить 2.4 'считать сообщение истинным',Snom V Sdat
552,верить 2.4 'суеверия',Snom V в + Sacc
553,"верить 3.1 'считать, что другой притворяется'",Snom V Sdat
554,"верить 5.1 'считать, что ситуация имеет место'",Snom V в + Sacc
555,"верить 2.1 'считать, что ситуация имеет место'",Snom V что + CL
556,"верить 2.2 'считать, что ситуация имеет место'",Snom V {чтобы + CL / будто + CL}
557,верить 4.2 в бога,Snom V
558,верить 4.1 в бога,Snom V в + Sacc
559,верить 6.1 (вводн.),"V, CL"
560,вернуть 1.1,Snom V Sacc
561,вернуть 1.2,Snom V Sacc {ADV / PRкуда + Sx}
562,вернуть 1.3,Snom V Sacc Sdat
563,вернуть 2.1,Snom V Sacc
564,вернуть 3.1,Snom V Sacc
565,вернуть 3.2,Snom V Sacc Sdat
566,вернуть 4.1,Snom V Sacc
